Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001029014587402344e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.002063989639282227e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.003100156784057617e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.004101037979125977e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.005142927169799805e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.006170988082885742e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.007205963134765625e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.008239030838012695e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.009277820587158203e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001031589508056641e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
